"Type","Distribution","Exponential","Erlang(2)","Gamma","Weibull","Log-normal","Cohen","Christman"
"Exhaustive","Exponential"," 0.000"," 0.350","-0.000"," 0.002"," 0.250"," 1.001"," 1.000"
"Exhaustive","Erlang(2)","-0.254","-0.000"," 0.000","-0.051"," 0.104"," 0.350"," 0.505"
"Exhaustive","Gamma","-0.256"," 0.001","-0.000","-0.019"," 0.124"," 0.342"," 0.505"
"Exhaustive","Weibull","-0.148"," 0.151","-0.060"," 0.002"," 0.172"," 0.670"," 0.706"
"Exhaustive","Log-normal","-0.029"," 0.333","-0.370","-0.243"," 0.001"," 1.416"," 0.804"
"Exhaustive","All","-0.137"," 0.167","-0.086","-0.062"," 0.130"," 0.756"," 0.704"
"Subsamples","Exponential"," 0.003"," 0.275"," 0.002"," 0.007"," 0.164"," 0.996"," 1.002"
"Subsamples","Erlang(2)","-0.203"," 0.001"," 0.002","-0.027"," 0.064"," 0.351"," 0.502"
"Subsamples","Gamma","-0.189"," 0.014"," 0.003","-0.004"," 0.081"," 0.348"," 0.506"
"Subsamples","Weibull","-0.103"," 0.127","-0.041"," 0.004"," 0.110"," 0.666"," 0.707"
"Subsamples","Log-normal","-0.054"," 0.214","-0.258","-0.154"," 0.004"," 1.390"," 0.808"
"Subsamples","All","-0.109"," 0.126","-0.059","-0.035"," 0.085"," 0.750"," 0.705"
