"code","distribution","ncuts","ncond","run","truemean","trueshape","truesdlog"
"exp_cut005_cond100_rep001","exponential",5,100,1,1,NA,NA
"exp_cut005_cond100_rep002","exponential",5,100,2,1.29292929292929,NA,NA
"exp_cut005_cond100_rep003","exponential",5,100,3,1.58585858585859,NA,NA
"exp_cut005_cond100_rep004","exponential",5,100,4,1.87878787878788,NA,NA
"exp_cut005_cond100_rep005","exponential",5,100,5,2.17171717171717,NA,NA
"exp_cut005_cond100_rep006","exponential",5,100,6,2.46464646464646,NA,NA
"exp_cut005_cond100_rep007","exponential",5,100,7,2.75757575757576,NA,NA
"exp_cut005_cond100_rep008","exponential",5,100,8,3.05050505050505,NA,NA
"exp_cut005_cond100_rep009","exponential",5,100,9,3.34343434343434,NA,NA
"exp_cut005_cond100_rep010","exponential",5,100,10,3.63636363636364,NA,NA
"exp_cut005_cond100_rep011","exponential",5,100,11,3.92929292929293,NA,NA
"exp_cut005_cond100_rep012","exponential",5,100,12,4.22222222222222,NA,NA
"exp_cut005_cond100_rep013","exponential",5,100,13,4.51515151515152,NA,NA
"exp_cut005_cond100_rep014","exponential",5,100,14,4.80808080808081,NA,NA
"exp_cut005_cond100_rep015","exponential",5,100,15,5.1010101010101,NA,NA
"exp_cut005_cond100_rep016","exponential",5,100,16,5.39393939393939,NA,NA
"exp_cut005_cond100_rep017","exponential",5,100,17,5.68686868686869,NA,NA
"exp_cut005_cond100_rep018","exponential",5,100,18,5.97979797979798,NA,NA
"exp_cut005_cond100_rep019","exponential",5,100,19,6.27272727272727,NA,NA
"exp_cut005_cond100_rep020","exponential",5,100,20,6.56565656565657,NA,NA
"exp_cut005_cond100_rep021","exponential",5,100,21,6.85858585858586,NA,NA
"exp_cut005_cond100_rep022","exponential",5,100,22,7.15151515151515,NA,NA
"exp_cut005_cond100_rep023","exponential",5,100,23,7.44444444444444,NA,NA
"exp_cut005_cond100_rep024","exponential",5,100,24,7.73737373737374,NA,NA
"exp_cut005_cond100_rep025","exponential",5,100,25,8.03030303030303,NA,NA
"exp_cut005_cond100_rep026","exponential",5,100,26,8.32323232323232,NA,NA
"exp_cut005_cond100_rep027","exponential",5,100,27,8.61616161616162,NA,NA
"exp_cut005_cond100_rep028","exponential",5,100,28,8.90909090909091,NA,NA
"exp_cut005_cond100_rep029","exponential",5,100,29,9.2020202020202,NA,NA
"exp_cut005_cond100_rep030","exponential",5,100,30,9.49494949494949,NA,NA
"exp_cut005_cond100_rep031","exponential",5,100,31,9.78787878787879,NA,NA
"exp_cut005_cond100_rep032","exponential",5,100,32,10.0808080808081,NA,NA
"exp_cut005_cond100_rep033","exponential",5,100,33,10.3737373737374,NA,NA
"exp_cut005_cond100_rep034","exponential",5,100,34,10.6666666666667,NA,NA
"exp_cut005_cond100_rep035","exponential",5,100,35,10.959595959596,NA,NA
"exp_cut005_cond100_rep036","exponential",5,100,36,11.2525252525253,NA,NA
"exp_cut005_cond100_rep037","exponential",5,100,37,11.5454545454545,NA,NA
"exp_cut005_cond100_rep038","exponential",5,100,38,11.8383838383838,NA,NA
"exp_cut005_cond100_rep039","exponential",5,100,39,12.1313131313131,NA,NA
"exp_cut005_cond100_rep040","exponential",5,100,40,12.4242424242424,NA,NA
"exp_cut005_cond100_rep041","exponential",5,100,41,12.7171717171717,NA,NA
"exp_cut005_cond100_rep042","exponential",5,100,42,13.010101010101,NA,NA
"exp_cut005_cond100_rep043","exponential",5,100,43,13.3030303030303,NA,NA
"exp_cut005_cond100_rep044","exponential",5,100,44,13.5959595959596,NA,NA
"exp_cut005_cond100_rep045","exponential",5,100,45,13.8888888888889,NA,NA
"exp_cut005_cond100_rep046","exponential",5,100,46,14.1818181818182,NA,NA
"exp_cut005_cond100_rep047","exponential",5,100,47,14.4747474747475,NA,NA
"exp_cut005_cond100_rep048","exponential",5,100,48,14.7676767676768,NA,NA
"exp_cut005_cond100_rep049","exponential",5,100,49,15.0606060606061,NA,NA
"exp_cut005_cond100_rep050","exponential",5,100,50,15.3535353535354,NA,NA
"exp_cut005_cond100_rep051","exponential",5,100,51,15.6464646464646,NA,NA
"exp_cut005_cond100_rep052","exponential",5,100,52,15.9393939393939,NA,NA
"exp_cut005_cond100_rep053","exponential",5,100,53,16.2323232323232,NA,NA
"exp_cut005_cond100_rep054","exponential",5,100,54,16.5252525252525,NA,NA
"exp_cut005_cond100_rep055","exponential",5,100,55,16.8181818181818,NA,NA
"exp_cut005_cond100_rep056","exponential",5,100,56,17.1111111111111,NA,NA
"exp_cut005_cond100_rep057","exponential",5,100,57,17.4040404040404,NA,NA
"exp_cut005_cond100_rep058","exponential",5,100,58,17.6969696969697,NA,NA
"exp_cut005_cond100_rep059","exponential",5,100,59,17.989898989899,NA,NA
"exp_cut005_cond100_rep060","exponential",5,100,60,18.2828282828283,NA,NA
"exp_cut005_cond100_rep061","exponential",5,100,61,18.5757575757576,NA,NA
"exp_cut005_cond100_rep062","exponential",5,100,62,18.8686868686869,NA,NA
